Vendor,Tools,Chip,Implementation,Fmax (MHz),LUT,FF,Dist. RAM,BSRAM,DSP,DMIPS/MHz,DMIPS,Pnorm/DMIPS
Xilinx,Vivado v2024.1,Artix-7 XC7A35T-ICPG236C,"PicoRV32 (SSRAM RF, LUT_ALU)",193.000,966,424,48,-,-,0.222,42.846,6.054
,,,"eduBOS5  (SSRAM RF, LUT_ALU) - 2stage",130.500,810,450,48,-,-,0.447,58.3335,2.605
Lattice,Lattice Diamond 3.13.0.56.2,ECP5 LF5U-12F-6BG381C,"PicoRV32 (SSRAM RF, LUT_ALU)",94.060,1013,428,96,-,-,0.222,20.88132,6.573
,,,"eduBOS5  (SSRAM RF, LUT_ALU)",71.669,929,458,96,-,-,0.447,32.036043,3.059
Gowin,Gowin FPGA Designer 1.9.9.03,GW2AR-18C C8/I7,"PicoRV32 (SSRAM RF, LUT_ALU)",118.316,1340,414,32,-,-,0.222,26.266152,7.976
,,,"eduBOS5  (SSRAM RF, LUT_ALU) - 2stage",88.081,1022,450,32,-,-,0.447,39.372207,3.132
,,,"PicoRV32 (SSRAM RF, DSP_ALU)          N/A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,"eduBOS5  (SSRAM RF, DSP_ALU) - 2stage",113.610,902,385,32,-,2,0.447,50.78367,2.766
,,,"PicoRV32 (BSRAM RF, LUT_ALU)",116.327,1353,458,-,2 (32 kbits),-,0.222,25.824594,7.932
,,,"eduBOS5 pipelined  (BSRAM RF, LUT_ALU) WIP, forecasted:",70.000,1000,450,-,1 (16 kbits),-,0.85,59.5,1.571
,,GW1NR-9C C6/I5,"PicoRV32 (SSRAM RF, LUT_ALU)",63.324,1340,414,32,-,-,0.222,14.057928,7.976
,,,"eduBOS5  (SSRAM RF, LUT_ALU) - 2stage",50.819,1022,450,32,-,-,0.447,22.716093,3.132
,,,"PicoRV32 (SSRAM RF, DSP_ALU)          N/A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,"eduBOS5  (SSRAM RF, DSP_ALU) - 2stage",56.052,902,385,32,-,2,0.447,25.055244,2.766
,,,"PicoRV32 (BSRAM RF, LUT_ALU)",55.815,1353,458,-,2 (32 kbits),-,0.222,12.39093,7.932
,,,"eduBOS5 pipelined  (BSRAM RF, LUT_ALU) WIP, forecasted:",45.000,1000,450,-,1 (16 kbits),-,0.85,38.25,1.571
